DATE;TIME;ZAT;OZNAKA;TIP_DOK;BR_DOK;POBROJ;MAG;IMEMAG;KOMINT;IMEKOM;DATUM;VALUTA;PLATENO;AZUR;NALOG;DOLGUVA;POBARUVA;FAKIZNOS;TRANSPORT;CARINA;UTOVAR;TROSOCI;NACINISPOR;TOVARLIST;VOZILO;PRIMIL;PORIZJAVA;MANIPUL;SIFCAR;IMECAR;SIFTRANS;IMETRANS;SIFSPED;IMESPED;DDV19;DDV5;DOK1;DOK2;DOK3;DOK4
31.10.2025;15:23:23;;;2;001382;;100;\OR^E;156;BOSA DVA;31.10.2025;07.11.2025;;;;20588,50;;19608,00;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;980,50;;;;
31.10.2025;15:24:03;;;2;001383;;100;\OR^E;1348;KVATRO;31.10.2025;07.11.2025;;;;11717,50;;11159,00;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;558,50;;;;
31.10.2025;15:26:06;;;2;001384;;100;\OR^E;1321;MB-DOO;31.10.2025;07.11.2025;;;;10342,50;;9850,00;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;492,50;;;;
05.11.2025;14:48:42;;;2;001385;podr.ramstore vardar;100;\OR^E;971;RAMSTORE MAKEDONIJA DOO SKOPJE;31.10.2025;30.12.2025;;;;7686,00;;7320,00;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;366,00;;;;
07.11.2025;08:29:18;;;2;001386;podr.ramstore xevahir;100;\OR^E;971;RAMSTORE MAKEDONIJA DOO SKOPJE;06.11.2025;05.01.2026;;;;5166,00;;4920,00;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;246,00;;;;
06.11.2025;08:25:06;;;2;001387;REPTIL-19avtokomanda;100;\OR^E;1225;REPTIL DPTU;05.11.2025;05.12.2025;;;;2709,00;;2580,00;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;129,00;;;;
06.11.2025;08:26:02;;;2;001388;REPTIL-17 kozle;100;\OR^E;1225;REPTIL DPTU;05.11.2025;05.12.2025;;;;2667,00;;2540,00;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;127,00;;;;
06.11.2025;08:26:53;;;2;001389;REPTIL-16 leninova;100;\OR^E;1225;REPTIL DPTU;05.11.2025;05.12.2025;;;;1827,00;;1740,00;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;87,00;;;;
06.11.2025;08:27:33;;;2;001390;REPTIL-12 nerezi;100;\OR^E;1225;REPTIL DPTU;05.11.2025;05.12.2025;;;;1890,00;;1800,00;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;90,00;;;;
06.11.2025;08:28:29;;;2;001391;REPTIL-5 karpo[;100;\OR^E;1225;REPTIL DPTU;05.11.2025;05.12.2025;;;;2667,00;;2540,00;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;127,00;;;;
06.11.2025;08:29:13;;;2;001392;REPTIL-1 ruzveltova;100;\OR^E;1225;REPTIL DPTU;05.11.2025;05.12.2025;;;;9870,00;;9400,00;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;470,00;;;;
07.11.2025;08:29:52;;;2;001393;ZUR market-14 maxari;100;\OR^E;874;T.D.GRANDPROM ZUR DOO;05.11.2025;05.12.2025;;;;3654,00;;3480,00;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;174,00;;;;
07.11.2025;08:30:06;;;2;001394;ZUR market-20 karpo[;100;\OR^E;874;T.D.GRANDPROM ZUR DOO;06.11.2025;06.12.2025;;;;2667,00;;2540,00;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;127,00;;;;
07.11.2025;08:30:26;;;2;001395;ZUR market-1 rasdnik;100;\OR^E;874;T.D.GRANDPROM ZUR DOO;06.11.2025;06.12.2025;;;;2709,00;;2580,00;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;129,00;;;;
07.11.2025;08:31:16;;;2;001396;ZUR market-9 maxari;100;\OR^E;874;T.D.GRANDPROM ZUR DOO;06.11.2025;06.12.2025;;;;5481,00;;5220,00;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;261,00;;;;
07.11.2025;08:31:42;;;2;001397;ZUR market-15 k.voda;100;\OR^E;874;T.D.GRANDPROM ZUR DOO;06.11.2025;06.12.2025;;;;1212,00;;1154,50;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;57,50;;;;
10.11.2025;09:58:21;;;2;001398;ZUR market-1 s.zelenikovo;100;\OR^E;874;T.D.GRANDPROM ZUR DOO;06.11.2025;06.12.2025;;;;4536,00;;4320,00;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;216,00;;;;
07.11.2025;08:31:57;;;2;001399;podr.ramstore g.lisi^e;100;\OR^E;971;RAMSTORE MAKEDONIJA DOO SKOPJE;06.11.2025;05.01.2026;;;;3570,50;;3400,50;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;170,00;;;;
10.11.2025;10:09:10;;;2;001400;s.petrovec;100;\OR^E;920;BORJAN DIM DOOEL SKOPJE;06.11.2025;13.11.2025;;;;11355,50;;10815,00;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;540,50;;;;
07.11.2025;08:27:27;;;2;001401;;100;\OR^E;914;SONJA ISAEVA;05.11.2025;05.11.2025;;;;1367,00;;1302,00;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;65,00;;;;
07.11.2025;08:32:23;;;2;001402;;100;\OR^E;877;INTEGRAL DOOEL;05.11.2025;20.11.2025;;;;17090,00;;16276,50;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;813,50;;;;
06.11.2025;08:49:49;;;2;001403;VERO-10 k.voda;100;\OR^E;1050;VEROPULOS DOOEL SKOPJE;05.11.2025;04.01.2026;;;;10841,00;;10325,00;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;516,00;;;;
06.11.2025;08:50:42;;;2;001404;VERO-1 aerodrom;100;\OR^E;1050;VEROPULOS DOOEL SKOPJE;05.11.2025;04.01.2026;;;;3480,00;;3314,50;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;165,50;;;;
06.11.2025;08:51:28;;;2;001405;VERO-2 taftalixe;100;\OR^E;1050;VEROPULOS DOOEL SKOPJE;05.11.2025;04.01.2026;;;;6315,00;;6014,50;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;300,50;;;;
06.11.2025;08:52:43;;;2;001406;VERO-5 centar;100;\OR^E;1050;VEROPULOS DOOEL SKOPJE;05.11.2025;04.01.2026;;;;4795,50;;4567,00;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;228,50;;;;
07.11.2025;08:32:38;;;2;001407;VERO-8^air;100;\OR^E;1050;VEROPULOS DOOEL SKOPJE;05.11.2025;04.01.2026;;;;9656,00;;9196,50;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;459,50;;;;
07.11.2025;08:33:20;;;2;001408;VERO-7 gtc;100;\OR^E;1050;VEROPULOS DOOEL SKOPJE;05.11.2025;04.01.2026;;;;7218,00;;6874,00;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;344,00;;;;
